Date,Tres
4/9/24,189.505
4/10/24,189.5
4/11/24,189.495
4/12/24,189.49
4/13/24,189.485
4/14/24,189.48
4/15/24,189.475
4/16/24,189.47
4/17/24,189.465
4/18/24,189.46
4/19/24,189.455
4/20/24,189.45
4/21/24,189.445
4/22/24,189.44
4/23/24,189.435
4/24/24,189.43
4/25/24,189.425
4/26/24,189.42
4/27/24,189.415
4/28/24,189.41
4/29/24,189.405
4/30/24,189.4
5/1/24,189.395
5/2/24,189.39
5/3/24,189.385
5/4/24,189.38
5/5/24,189.375
5/6/24,189.37
5/7/24,189.365
5/8/24,189.36
5/9/24,189.355
5/10/24,189.35
5/11/24,189.345
5/12/24,189.34
5/13/24,189.335
5/14/24,189.33
5/15/24,189.325
5/16/24,189.32
5/17/24,189.315
5/18/24,189.31
5/19/24,189.305
5/20/24,189.3
5/21/24,189.295
5/22/24,189.29
5/23/24,189.285
5/24/24,189.28
5/25/24,189.275
5/26/24,189.27
5/27/24,189.265
5/28/24,189.26
5/29/24,189.255
5/30/24,189.25
5/31/24,189.245
6/1/24,189.24
6/2/24,189.235
6/3/24,189.23
6/4/24,189.225
6/5/24,189.22
6/6/24,189.215
6/7/24,189.21
6/8/24,189.205
6/9/24,189.2
6/10/24,189.195
6/11/24,189.19
6/12/24,189.185
6/13/24,189.18
6/14/24,189.175
6/15/24,189.17
6/16/24,189.165
6/17/24,189.16
6/18/24,189.155
6/19/24,189.15
6/20/24,189.145
6/21/24,189.14
6/22/24,189.135
6/23/24,189.13
6/24/24,189.125
6/25/24,189.12
6/26/24,189.115
6/27/24,189.11
6/28/24,189.105
6/29/24,189.1
6/30/24,189.095
7/1/24,189.09
7/2/24,189.085
7/3/24,189.08
7/4/24,189.075
7/5/24,189.07
7/6/24,189.065
7/7/24,189.06
7/8/24,189.055
7/9/24,189.05
7/10/24,189.045
7/11/24,189.04
7/12/24,189.035
7/13/24,189.03
7/14/24,189.025
7/15/24,189.02
7/16/24,189.015
7/17/24,189.01
7/18/24,189.005
7/19/24,189
7/20/24,188.995
7/21/24,188.99
7/22/24,188.985
7/23/24,188.98
7/24/24,188.975
7/25/24,188.97
7/26/24,188.965
7/27/24,188.96
7/28/24,188.955
7/29/24,188.95
7/30/24,188.945
7/31/24,188.94
8/1/24,188.935
8/2/24,188.93
8/3/24,188.925
8/4/24,188.92
8/5/24,188.915
8/6/24,188.91
8/7/24,188.905
8/8/24,188.9
8/9/24,188.895
8/10/24,188.89
8/11/24,188.885
8/12/24,188.88
8/13/24,188.875
8/14/24,188.87
8/15/24,188.865
8/16/24,188.86
8/17/24,188.855
8/18/24,188.85
8/19/24,188.845
8/20/24,188.84
8/21/24,188.835
8/22/24,188.83
8/23/24,188.825
8/24/24,188.82
8/25/24,188.815
8/26/24,188.81
8/27/24,188.805
8/28/24,188.8
8/29/24,188.795
8/30/24,188.79
8/31/24,188.785
9/1/24,188.78
9/2/24,188.775
9/3/24,188.77
9/4/24,188.765
9/5/24,188.76
9/6/24,188.755
9/7/24,188.75
9/8/24,188.745
9/9/24,188.74
9/10/24,188.735
9/11/24,188.73
9/12/24,188.725
9/13/24,188.72
9/14/24,188.715
9/15/24,188.71
9/16/24,188.705
9/17/24,188.7
9/18/24,188.695
9/19/24,188.69
9/20/24,188.685
9/21/24,188.68
9/22/24,188.675
9/23/24,188.67
9/24/24,188.665
9/25/24,188.66
9/26/24,188.655
9/27/24,188.65
9/28/24,188.645
9/29/24,188.64
9/30/24,188.635
10/1/24,188.63
10/2/24,188.625
10/3/24,188.62
10/4/24,188.615
10/5/24,188.61
10/6/24,188.605
10/7/24,188.6
10/8/24,188.595
10/9/24,188.59
10/10/24,188.585
10/11/24,188.58
10/12/24,188.575
10/13/24,188.57
10/14/24,188.565
10/15/24,188.56
10/16/24,188.555
10/17/24,188.55
10/18/24,188.545
10/19/24,188.54
10/20/24,188.535
10/21/24,188.53
10/22/24,188.525
10/23/24,188.52
10/24/24,188.515
10/25/24,188.51
10/26/24,188.505
10/27/24,188.5
10/28/24,188.495
10/29/24,188.49
10/30/24,188.485
10/31/24,188.48
11/1/24,188.475
11/2/24,188.47
11/3/24,188.465
11/4/24,188.46
11/5/24,188.455
11/6/24,188.45
11/7/24,188.445
11/8/24,188.44
11/9/24,188.435
11/10/24,188.43
11/11/24,188.425
11/12/24,188.42
11/13/24,188.415
11/14/24,188.41
11/15/24,188.405
11/16/24,188.4
11/17/24,188.395
11/18/24,188.39
11/19/24,188.385
11/20/24,188.38
11/21/24,188.375
11/22/24,188.37
11/23/24,188.365
11/24/24,188.36
11/25/24,188.355
11/26/24,188.35
11/27/24,188.345
11/28/24,188.34
11/29/24,188.335
11/30/24,188.33
12/1/24,188.325
12/2/24,188.32
12/3/24,188.315
12/4/24,188.31
12/5/24,188.305
12/6/24,188.3
12/7/24,188.295
12/8/24,188.29
12/9/24,188.285
12/10/24,188.28
12/11/24,188.275
12/12/24,188.27
12/13/24,188.265
12/14/24,188.26
12/15/24,188.255
12/16/24,188.25
12/17/24,188.245
12/18/24,188.24
12/19/24,188.235
12/20/24,188.23
12/21/24,188.225
12/22/24,188.22
12/23/24,188.215
12/24/24,188.21
12/25/24,188.205
12/26/24,188.2
12/27/24,188.195
12/28/24,188.19
12/29/24,188.185
12/30/24,188.18
12/31/24,188.175
1/1/25,188.17
1/2/25,188.165
1/3/25,188.16
1/4/25,188.155
1/5/25,188.15
1/6/25,188.145
1/7/25,188.14
1/8/25,188.135
1/9/25,188.13
1/10/25,188.125
1/11/25,188.12
1/12/25,188.115
1/13/25,188.11
1/14/25,188.105
1/15/25,188.1
1/16/25,188.095
1/17/25,188.09
1/18/25,188.085
1/19/25,188.08
1/20/25,188.075
1/21/25,188.07
1/22/25,188.065
1/23/25,188.06
1/24/25,188.055
1/25/25,188.05
1/26/25,188.045
1/27/25,188.04
1/28/25,188.035
1/29/25,188.03
1/30/25,188.025
1/31/25,188.02
2/1/25,188.015
2/2/25,188.01
2/3/25,188.005
2/4/25,188
2/5/25,187.995
2/6/25,187.99
2/7/25,187.985
2/8/25,187.98
2/9/25,187.975
2/10/25,187.97
2/11/25,187.965
2/12/25,187.96
2/13/25,187.955
2/14/25,187.95
2/15/25,187.945
2/16/25,187.94
2/17/25,187.935
2/18/25,187.93
2/19/25,187.925
2/20/25,187.92
2/21/25,187.915
2/22/25,187.91
2/23/25,187.905
2/24/25,187.9
2/25/25,187.895
2/26/25,187.89
2/27/25,187.885
2/28/25,187.88
3/1/25,187.875
3/2/25,187.87
3/3/25,187.865
3/4/25,187.86
3/5/25,187.855
3/6/25,187.85
3/7/25,187.845
3/8/25,187.84
3/9/25,187.835
3/10/25,187.83
3/11/25,187.825
3/12/25,187.82
3/13/25,187.815
3/14/25,187.81
3/15/25,187.805
3/16/25,187.8
3/17/25,187.795
3/18/25,187.79
3/19/25,187.785
3/20/25,187.78
3/21/25,187.775
3/22/25,187.77
3/23/25,187.765
3/24/25,187.76
3/25/25,187.755
3/26/25,187.75
3/27/25,187.745
3/28/25,187.74
3/29/25,187.735
3/30/25,187.73
3/31/25,187.725
4/1/25,187.72
4/2/25,187.715
4/3/25,187.71
4/4/25,187.705
4/5/25,187.7
4/6/25,187.695
4/7/25,187.69
4/8/25,187.685
4/9/25,187.68
4/10/25,187.675
4/11/25,187.67
4/12/25,187.665
4/13/25,187.66
4/14/25,187.655
4/15/25,187.65
4/16/25,187.645
4/17/25,187.64
4/18/25,187.635
4/19/25,187.63
4/20/25,187.625
4/21/25,187.62
4/22/25,187.615
4/23/25,187.61
4/24/25,187.605
4/25/25,187.6
4/26/25,187.595
4/27/25,187.59
4/28/25,187.585
4/29/25,187.58
4/30/25,187.575
5/1/25,187.57
5/2/25,187.565
5/3/25,187.56
5/4/25,187.555
5/5/25,187.55
5/6/25,187.545
5/7/25,187.54
5/8/25,187.535
5/9/25,187.53
5/10/25,187.525
5/11/25,187.52
5/12/25,187.515
5/13/25,187.51
5/14/25,187.505
5/15/25,187.5
5/16/25,187.495
5/17/25,187.49
5/18/25,187.485
5/19/25,187.48
5/20/25,187.475
5/21/25,187.47
5/22/25,187.465
5/23/25,187.46
5/24/25,187.455
5/25/25,187.45
5/26/25,187.445
5/27/25,187.44
5/28/25,187.435
5/29/25,187.43
5/30/25,187.425
5/31/25,187.42
6/1/25,187.415
6/2/25,187.41
6/3/25,187.405
6/4/25,187.4
6/5/25,187.395
6/6/25,187.39
6/7/25,187.385
6/8/25,187.38
6/9/25,187.375
6/10/25,187.37
6/11/25,187.365
6/12/25,187.36
6/13/25,187.355
6/14/25,187.35
6/15/25,187.345
6/16/25,187.34
6/17/25,187.335
6/18/25,187.33
6/19/25,187.325
6/20/25,187.32
6/21/25,187.315
6/22/25,187.31
6/23/25,187.305
6/24/25,187.3
6/25/25,187.295
6/26/25,187.29
6/27/25,187.285
6/28/25,187.28
6/29/25,187.275
6/30/25,187.27
7/1/25,187.265
7/2/25,187.26
7/3/25,187.255
7/4/25,187.25
7/5/25,187.245
7/6/25,187.24
7/7/25,187.235
7/8/25,187.23
7/9/25,187.225
7/10/25,187.22
7/11/25,187.215
7/12/25,187.21
7/13/25,187.205
7/14/25,187.2
7/15/25,187.195
7/16/25,187.19
7/17/25,187.185
7/18/25,187.18
7/19/25,187.175
7/20/25,187.17
7/21/25,187.165
7/22/25,187.16
7/23/25,187.155
7/24/25,187.15
7/25/25,187.145
7/26/25,187.14
7/27/25,187.135
7/28/25,187.13
7/29/25,187.125
7/30/25,187.12
7/31/25,187.115
8/1/25,187.11
8/2/25,187.105
8/3/25,187.1
8/4/25,187.095
8/5/25,187.09
8/6/25,187.085
8/7/25,187.08
8/8/25,187.075
8/9/25,187.07
8/10/25,187.065
8/11/25,187.06
8/12/25,187.055
8/13/25,187.05
8/14/25,187.045
8/15/25,187.04
8/16/25,187.035
8/17/25,187.03
8/18/25,187.025
8/19/25,187.02
8/20/25,187.015
8/21/25,187.01
8/22/25,187.005
8/23/25,187
8/24/25,186.995
8/25/25,186.99
8/26/25,186.985
8/27/25,186.98
8/28/25,186.975
8/29/25,186.97
8/30/25,186.965
8/31/25,186.96
9/1/25,186.955
9/2/25,186.95
9/3/25,186.945
9/4/25,186.94
9/5/25,186.935
9/6/25,186.93
9/7/25,186.925
9/8/25,186.92
9/9/25,186.915
9/10/25,186.91
9/11/25,186.905
9/12/25,186.9
9/13/25,186.895
9/14/25,186.89
9/15/25,186.885
9/16/25,186.88
9/17/25,186.875
9/18/25,186.87
9/19/25,186.865
9/20/25,186.86
9/21/25,186.855
9/22/25,186.85
9/23/25,186.845
9/24/25,186.84
9/25/25,186.835
9/26/25,186.83
9/27/25,186.825
9/28/25,186.82
9/29/25,186.815
9/30/25,186.81
10/1/25,186.805
10/2/25,186.8
10/3/25,186.795
10/4/25,186.79
10/5/25,186.785
10/6/25,186.78
10/7/25,186.775
10/8/25,186.77
10/9/25,186.765
10/10/25,186.76
10/11/25,186.755
10/12/25,186.75
10/13/25,186.745
10/14/25,186.74
10/15/25,186.735
10/16/25,186.73
10/17/25,186.725
10/18/25,186.72
10/19/25,186.715
10/20/25,186.71
10/21/25,186.705
10/22/25,186.7
10/23/25,186.695
10/24/25,186.69
10/25/25,186.685
10/26/25,186.68
10/27/25,186.675
10/28/25,186.67
10/29/25,186.665
10/30/25,186.66
10/31/25,186.655
11/1/25,186.65
11/2/25,186.645
11/3/25,186.64
11/4/25,186.635
11/5/25,186.63
11/6/25,186.625
11/7/25,186.62
11/8/25,186.615
11/9/25,186.61
11/10/25,186.605
11/11/25,186.6
11/12/25,186.595
11/13/25,186.59
11/14/25,186.585
11/15/25,186.58
11/16/25,186.575
11/17/25,186.57
11/18/25,186.565
11/19/25,186.56
11/20/25,186.555
11/21/25,186.55
11/22/25,186.545
11/23/25,186.54
11/24/25,186.535
11/25/25,186.53
11/26/25,186.525
11/27/25,186.52
11/28/25,186.515
11/29/25,186.51
11/30/25,186.505
12/1/25,186.5
12/2/25,186.495
12/3/25,186.49
12/4/25,186.485
12/5/25,186.48
12/6/25,186.475
12/7/25,186.47
12/8/25,186.465
12/9/25,186.46
12/10/25,186.455
12/11/25,186.45
12/12/25,186.445
12/13/25,186.44
12/14/25,186.435
12/15/25,186.43
12/16/25,186.425
12/17/25,186.42
12/18/25,186.415
12/19/25,186.41
12/20/25,186.405
12/21/25,186.4
12/22/25,186.395
12/23/25,186.39
12/24/25,186.385
12/25/25,186.38
12/26/25,186.375
12/27/25,186.37
12/28/25,186.365
12/29/25,186.36
12/30/25,186.355
12/31/25,186.35
1/1/26,186.345
1/2/26,186.34
1/3/26,186.335
1/4/26,186.33
1/5/26,186.325
1/6/26,186.32
1/7/26,186.315
1/8/26,186.31
1/9/26,186.305
1/10/26,186.3
1/11/26,186.295
1/12/26,186.29
1/13/26,186.285
1/14/26,186.28
1/15/26,186.275
1/16/26,186.27
1/17/26,186.265
1/18/26,186.26
1/19/26,186.255
1/20/26,186.25
1/21/26,186.245
1/22/26,186.24
1/23/26,186.235
1/24/26,186.23
1/25/26,186.225
1/26/26,186.22
1/27/26,186.215
1/28/26,186.21
1/29/26,186.205
1/30/26,186.2
1/31/26,186.195
2/1/26,186.19
2/2/26,186.185
2/3/26,186.18
2/4/26,186.175
2/5/26,186.17
2/6/26,186.165
2/7/26,186.16
2/8/26,186.155
2/9/26,186.15
2/10/26,186.145
2/11/26,186.14
2/12/26,186.135
2/13/26,186.13
2/14/26,186.125
2/15/26,186.12
2/16/26,186.115
2/17/26,186.11
2/18/26,186.105
2/19/26,186.1
2/20/26,186.095
2/21/26,186.09
2/22/26,186.085
2/23/26,186.08
2/24/26,186.075
2/25/26,186.07
2/26/26,186.065
2/27/26,186.06
2/28/26,186.055
3/1/26,186.05
3/2/26,186.045
3/3/26,186.04
3/4/26,186.035
3/5/26,186.03
3/6/26,186.025
3/7/26,186.02
3/8/26,186.015
3/9/26,186.01
3/10/26,186.005
3/11/26,186
3/12/26,185.995
3/13/26,185.99
3/14/26,185.985
3/15/26,185.98
3/16/26,185.975
3/17/26,185.97
3/18/26,185.965
3/19/26,185.96
3/20/26,185.955
3/21/26,185.95
3/22/26,185.945
3/23/26,185.94
3/24/26,185.935
3/25/26,185.93
3/26/26,185.925
3/27/26,185.92
3/28/26,185.915
3/29/26,185.91
3/30/26,185.905
3/31/26,185.9
4/1/26,185.895
4/2/26,185.89
4/3/26,185.885
4/4/26,185.88
4/5/26,185.875
4/6/26,185.87
4/7/26,185.865
4/8/26,185.86
4/9/26,185.855
4/10/26,185.85
4/11/26,185.845
4/12/26,185.84
4/13/26,185.835
4/14/26,185.83
4/15/26,185.825
4/16/26,185.82
4/17/26,185.815
4/18/26,185.81
4/19/26,185.805
4/20/26,185.8
4/21/26,185.795
4/22/26,185.79
4/23/26,185.785
4/24/26,185.78
4/25/26,185.775
4/26/26,185.77
4/27/26,185.765
4/28/26,185.76
4/29/26,185.755
4/30/26,185.75
5/1/26,185.745
5/2/26,185.74
5/3/26,185.735
5/4/26,185.73
5/5/26,185.725
5/6/26,185.72
5/7/26,185.715
5/8/26,185.71
5/9/26,185.705
5/10/26,185.7
5/11/26,185.695
5/12/26,185.69
5/13/26,185.685
5/14/26,185.68
5/15/26,185.675
5/16/26,185.67
5/17/26,185.665
5/18/26,185.66
5/19/26,185.655
5/20/26,185.65
5/21/26,185.645
5/22/26,185.64
5/23/26,185.635
5/24/26,185.63
5/25/26,185.625
5/26/26,185.62
5/27/26,185.615
5/28/26,185.61
5/29/26,185.605
5/30/26,185.6
5/31/26,185.595
6/1/26,185.59
6/2/26,185.585
6/3/26,185.58
6/4/26,185.575
6/5/26,185.57
6/6/26,185.565
6/7/26,185.56
6/8/26,185.555
6/9/26,185.55
6/10/26,185.545
6/11/26,185.54
6/12/26,185.535
6/13/26,185.53
6/14/26,185.525
6/15/26,185.52
6/16/26,185.515
6/17/26,185.51
6/18/26,185.505
6/19/26,185.5
6/20/26,185.495
6/21/26,185.49
6/22/26,185.485
6/23/26,185.48
6/24/26,185.475
6/25/26,185.47
6/26/26,185.465
6/27/26,185.46
6/28/26,185.455
6/29/26,185.45
6/30/26,185.445
7/1/26,185.44
7/2/26,185.435
7/3/26,185.43
7/4/26,185.425
7/5/26,185.42
7/6/26,185.415
7/7/26,185.41
7/8/26,185.405
7/9/26,185.4
7/10/26,185.395
7/11/26,185.39
7/12/26,185.385
7/13/26,185.38
7/14/26,185.375
7/15/26,185.37
7/16/26,185.365
7/17/26,185.36
7/18/26,185.355
7/19/26,185.35
7/20/26,185.345
7/21/26,185.34
7/22/26,185.335
7/23/26,185.33
7/24/26,185.325
7/25/26,185.32
7/26/26,185.315
7/27/26,185.31
7/28/26,185.305
7/29/26,185.3
7/30/26,185.295
7/31/26,185.29
8/1/26,185.285
8/2/26,185.28
8/3/26,185.275
8/4/26,185.27
8/5/26,185.265
8/6/26,185.26
8/7/26,185.255
8/8/26,185.25
8/9/26,185.245
8/10/26,185.24
8/11/26,185.235
8/12/26,185.23
8/13/26,185.225
8/14/26,185.22
8/15/26,185.215
8/16/26,185.21
8/17/26,185.205
8/18/26,185.2
8/19/26,185.195
8/20/26,185.19
8/21/26,185.185
8/22/26,185.18
8/23/26,185.175
8/24/26,185.17
8/25/26,185.165
8/26/26,185.16
8/27/26,185.155
8/28/26,185.15
8/29/26,185.145
8/30/26,185.14
8/31/26,185.135
9/1/26,185.13
9/2/26,185.125
9/3/26,185.12
9/4/26,185.115
9/5/26,185.11
9/6/26,185.105
9/7/26,185.1
9/8/26,185.095
9/9/26,185.09
9/10/26,185.085
9/11/26,185.08
9/12/26,185.075
9/13/26,185.07
9/14/26,185.065
9/15/26,185.06
9/16/26,185.055
9/17/26,185.05
9/18/26,185.045
9/19/26,185.04
9/20/26,185.035
9/21/26,185.03
9/22/26,185.025
9/23/26,185.02
9/24/26,185.015
9/25/26,185.01
9/26/26,185.005
9/27/26,185
9/28/26,184.995
9/29/26,184.99
9/30/26,184.985
10/1/26,184.98
10/2/26,184.975
10/3/26,184.97
10/4/26,184.965
10/5/26,184.96
10/6/26,184.955
10/7/26,184.95
10/8/26,184.945
10/9/26,184.94
10/10/26,184.935
10/11/26,184.93
10/12/26,184.925
10/13/26,184.92
10/14/26,184.915
10/15/26,184.91
10/16/26,184.905
10/17/26,184.9
10/18/26,184.895
10/19/26,184.89
10/20/26,184.885
10/21/26,184.88
10/22/26,184.875
10/23/26,184.87
10/24/26,184.865
10/25/26,184.86
10/26/26,184.855
10/27/26,184.85
10/28/26,184.845
10/29/26,184.84
10/30/26,184.835
10/31/26,184.83
11/1/26,184.825
11/2/26,184.82
11/3/26,184.815
11/4/26,184.81
11/5/26,184.805
11/6/26,184.8
11/7/26,184.795
11/8/26,184.79
11/9/26,184.785
11/10/26,184.78
11/11/26,184.775
11/12/26,184.77
11/13/26,184.765
11/14/26,184.76
11/15/26,184.755
11/16/26,184.75
11/17/26,184.745
11/18/26,184.74
11/19/26,184.735
11/20/26,184.73
11/21/26,184.725
11/22/26,184.72
11/23/26,184.715
11/24/26,184.71
11/25/26,184.705
11/26/26,184.7
11/27/26,184.695
11/28/26,184.69
11/29/26,184.685
11/30/26,184.68
12/1/26,184.675
12/2/26,184.67
12/3/26,184.665
12/4/26,184.66
12/5/26,184.655
12/6/26,184.65
12/7/26,184.645
12/8/26,184.64
12/9/26,184.635
12/10/26,184.63
12/11/26,184.625
12/12/26,184.62
12/13/26,184.615
12/14/26,184.61
12/15/26,184.605
12/16/26,184.6
12/17/26,184.595
12/18/26,184.59
12/19/26,184.585
12/20/26,184.58
12/21/26,184.575
12/22/26,184.57
12/23/26,184.565
12/24/26,184.56
12/25/26,184.555
12/26/26,184.55
12/27/26,184.545
12/28/26,184.54
12/29/26,184.535
12/30/26,184.53
12/31/26,184.525
1/1/27,184.52
1/2/27,184.515
1/3/27,184.51
1/4/27,184.505
1/5/27,184.5
1/6/27,184.495
1/7/27,184.49
1/8/27,184.485
1/9/27,184.48
1/10/27,184.475
1/11/27,184.47
1/12/27,184.465
1/13/27,184.46
1/14/27,184.455
1/15/27,184.45
1/16/27,184.445
1/17/27,184.44
1/18/27,184.435
1/19/27,184.43
1/20/27,184.425
1/21/27,184.42
1/22/27,184.415
1/23/27,184.41
1/24/27,184.405
1/25/27,184.4
1/26/27,184.395
1/27/27,184.39
1/28/27,184.385
1/29/27,184.38
1/30/27,184.375
1/31/27,184.37
2/1/27,184.365
2/2/27,184.36
2/3/27,184.355
2/4/27,184.35
2/5/27,184.345
2/6/27,184.34
2/7/27,184.335
2/8/27,184.33
2/9/27,184.325
2/10/27,184.32
2/11/27,184.315
2/12/27,184.31
2/13/27,184.305
2/14/27,184.3
2/15/27,184.295
2/16/27,184.29
2/17/27,184.285
2/18/27,184.28
2/19/27,184.275
2/20/27,184.27
2/21/27,184.265
2/22/27,184.26
2/23/27,184.255
2/24/27,184.25
2/25/27,184.245
2/26/27,184.24
2/27/27,184.235
2/28/27,184.23
3/1/27,184.225
3/2/27,184.22
3/3/27,184.215
3/4/27,184.21
3/5/27,184.205
3/6/27,184.2
3/7/27,184.195
3/8/27,184.19
3/9/27,184.185
3/10/27,184.18
3/11/27,184.175
3/12/27,184.17
3/13/27,184.165
3/14/27,184.16
3/15/27,184.155
3/16/27,184.15
3/17/27,184.145
3/18/27,184.14
3/19/27,184.135
3/20/27,184.13
3/21/27,184.125
3/22/27,184.12
3/23/27,184.115
3/24/27,184.11
3/25/27,184.105
3/26/27,184.1
3/27/27,184.095
3/28/27,184.09
3/29/27,184.085
3/30/27,184.08
3/31/27,184.075
4/1/27,184.07
4/2/27,184.065
4/3/27,184.06
4/4/27,184.055
4/5/27,184.05
4/6/27,184.045
4/7/27,184.04
4/8/27,184.035
4/9/27,184.03
4/10/27,184.025
4/11/27,184.02
4/12/27,184.015
4/13/27,184.01
4/14/27,184.005
4/15/27,184
4/16/27,183.995
4/17/27,183.99
4/18/27,183.985
4/19/27,183.98
4/20/27,183.975
4/21/27,183.97
4/22/27,183.965
4/23/27,183.96
4/24/27,183.955
4/25/27,183.95
4/26/27,183.945
4/27/27,183.94
4/28/27,183.935
4/29/27,183.93
4/30/27,183.925
5/1/27,183.92
5/2/27,183.915
5/3/27,183.91
5/4/27,183.905
5/5/27,183.9
5/6/27,183.895
5/7/27,183.89
5/8/27,183.885
5/9/27,183.88
5/10/27,183.875
5/11/27,183.87
5/12/27,183.865
5/13/27,183.86
5/14/27,183.855
5/15/27,183.85
5/16/27,183.845
5/17/27,183.84
5/18/27,183.835
5/19/27,183.83
5/20/27,183.825
5/21/27,183.82
5/22/27,183.815
5/23/27,183.81
5/24/27,183.805
5/25/27,183.8
5/26/27,183.795
5/27/27,183.79
5/28/27,183.785
5/29/27,183.78
5/30/27,183.775
5/31/27,183.77
6/1/27,183.765
6/2/27,183.76
6/3/27,183.755
6/4/27,183.75
6/5/27,183.745
6/6/27,183.74
6/7/27,183.735
6/8/27,183.73
6/9/27,183.725
6/10/27,183.72
6/11/27,183.715
6/12/27,183.71
6/13/27,183.705
6/14/27,183.7
6/15/27,183.695
6/16/27,183.69
6/17/27,183.685
6/18/27,183.68
6/19/27,183.675
6/20/27,183.67
6/21/27,183.665
6/22/27,183.66
6/23/27,183.655
6/24/27,183.65
6/25/27,183.645
6/26/27,183.64
6/27/27,183.635
6/28/27,183.63
6/29/27,183.625
6/30/27,183.62
7/1/27,183.615
7/2/27,183.61
7/3/27,183.605
7/4/27,183.6
7/5/27,183.595
7/6/27,183.59
7/7/27,183.585
7/8/27,183.58
7/9/27,183.575
7/10/27,183.57
7/11/27,183.565
7/12/27,183.56
7/13/27,183.555
7/14/27,183.55
7/15/27,183.545
7/16/27,183.54
7/17/27,183.535
7/18/27,183.53
7/19/27,183.525
7/20/27,183.52
7/21/27,183.515
7/22/27,183.51
7/23/27,183.505
7/24/27,183.5
7/25/27,183.495
7/26/27,183.49
7/27/27,183.485
7/28/27,183.48
7/29/27,183.475
7/30/27,183.47
7/31/27,183.465
8/1/27,183.46
8/2/27,183.455
8/3/27,183.45
8/4/27,183.445
8/5/27,183.44
8/6/27,183.435
8/7/27,183.43
8/8/27,183.425
8/9/27,183.42
8/10/27,183.415
8/11/27,183.41
8/12/27,183.405
8/13/27,183.4
8/14/27,183.395
8/15/27,183.39
8/16/27,183.385
8/17/27,183.38
8/18/27,183.375
8/19/27,183.37
8/20/27,183.365
8/21/27,183.36
8/22/27,183.355
8/23/27,183.35
8/24/27,183.345
8/25/27,183.34
8/26/27,183.335
8/27/27,183.33
8/28/27,183.325
8/29/27,183.32
8/30/27,183.315
8/31/27,183.31
9/1/27,183.305
9/2/27,183.3
9/3/27,183.295
9/4/27,183.29
9/5/27,183.285
9/6/27,183.28
9/7/27,183.275
9/8/27,183.27
9/9/27,183.265
9/10/27,183.26
9/11/27,183.255
9/12/27,183.25
9/13/27,183.245
9/14/27,183.24
9/15/27,183.235
9/16/27,183.23
9/17/27,183.225
9/18/27,183.22
9/19/27,183.215
9/20/27,183.21
9/21/27,183.205
9/22/27,183.2
9/23/27,183.195
9/24/27,183.19
9/25/27,183.185
9/26/27,183.18
9/27/27,183.175
9/28/27,183.17
9/29/27,183.165
9/30/27,183.16
10/1/27,183.155
10/2/27,183.15
10/3/27,183.145
10/4/27,183.14
10/5/27,183.135
10/6/27,183.13
10/7/27,183.125
10/8/27,183.12
10/9/27,183.115
10/10/27,183.11
10/11/27,183.105
10/12/27,183.1
10/13/27,183.095
10/14/27,183.09
10/15/27,183.085
10/16/27,183.08
10/17/27,183.075
10/18/27,183.07
10/19/27,183.065
10/20/27,183.06
10/21/27,183.055
10/22/27,183.05
10/23/27,183.045
10/24/27,183.04
10/25/27,183.035
10/26/27,183.03
10/27/27,183.025
10/28/27,183.02
10/29/27,183.015
10/30/27,183.01
10/31/27,183.005
