Date,Tres_deg_C,m_kg_per_sec
4/19/25,187.63,80
4/20/25,187.625,80
4/21/25,187.62,80
4/22/25,187.615,80
4/23/25,187.61,80
4/24/25,187.605,80
4/25/25,187.6,80
4/26/25,187.595,80
4/27/25,187.59,80
4/28/25,187.585,80
4/29/25,187.58,80
4/30/25,187.575,80
5/1/25,187.57,80
5/2/25,187.565,80
5/3/25,187.56,80
5/4/25,187.555,80
5/5/25,187.55,80
5/6/25,187.545,80
5/7/25,187.54,80
5/8/25,187.535,80
5/9/25,187.53,80
5/10/25,187.525,80
5/11/25,187.52,80
5/12/25,187.515,80
5/13/25,187.51,80
5/14/25,187.505,80
5/15/25,187.5,80
5/16/25,187.495,80
5/17/25,187.49,80
5/18/25,187.485,80
5/19/25,187.48,80
5/20/25,187.475,80
5/21/25,187.47,80
5/22/25,187.465,80
5/23/25,187.46,80
5/24/25,187.455,80
5/25/25,187.45,80
5/26/25,187.445,80
5/27/25,187.44,80
5/28/25,187.435,80
5/29/25,187.43,80
5/30/25,187.425,80
5/31/25,187.42,80
6/1/25,187.415,80
6/2/25,187.41,80
6/3/25,187.405,80
6/4/25,187.4,80
6/5/25,187.395,80
6/6/25,187.39,80
6/7/25,187.385,80
6/8/25,187.38,80
6/9/25,187.375,80
6/10/25,187.37,80
6/11/25,187.365,80
6/12/25,187.36,80
6/13/25,187.355,80
6/14/25,187.35,80
6/15/25,187.345,80
6/16/25,187.34,80
6/17/25,187.335,80
6/18/25,187.33,80
6/19/25,187.325,80
6/20/25,187.32,80
6/21/25,187.315,80
6/22/25,187.31,80
6/23/25,187.305,80
6/24/25,187.3,80
6/25/25,187.295,80
6/26/25,187.29,80
6/27/25,187.285,80
6/28/25,187.28,80
6/29/25,187.275,80
6/30/25,187.27,80
7/1/25,187.265,80
7/2/25,187.26,80
7/3/25,187.255,80
7/4/25,187.25,80
7/5/25,187.245,80
7/6/25,187.24,80
7/7/25,187.235,80
7/8/25,187.23,80
7/9/25,187.225,80
7/10/25,187.22,80
7/11/25,187.215,80
7/12/25,187.21,80
7/13/25,187.205,80
7/14/25,187.2,80
7/15/25,187.195,80
7/16/25,187.19,80
7/17/25,187.185,80
7/18/25,187.18,80
7/19/25,187.175,80
7/20/25,187.17,80
7/21/25,187.165,80
7/22/25,187.16,80
7/23/25,187.155,80
7/24/25,187.15,80
7/25/25,187.145,80
7/26/25,187.14,80
7/27/25,187.135,80
7/28/25,187.13,80
7/29/25,187.125,80
7/30/25,187.12,80
7/31/25,187.115,80
8/1/25,187.11,80
8/2/25,187.105,80
8/3/25,187.1,80
8/4/25,187.095,80
8/5/25,187.09,80
8/6/25,187.085,80
8/7/25,187.08,80
8/8/25,187.075,80
8/9/25,187.07,80
8/10/25,187.065,80
8/11/25,187.06,80
8/12/25,187.055,80
8/13/25,187.05,80
8/14/25,187.045,80
8/15/25,187.04,80
8/16/25,187.035,80
8/17/25,187.03,80
8/18/25,187.025,80
8/19/25,187.02,80
8/20/25,187.015,80
8/21/25,187.01,80
8/22/25,187.005,80
8/23/25,187,80
8/24/25,186.995,80
8/25/25,186.99,80
8/26/25,186.985,80
8/27/25,186.98,80
8/28/25,186.975,80
8/29/25,186.97,80
8/30/25,186.965,80
8/31/25,186.96,80
9/1/25,186.955,80
9/2/25,186.95,80
9/3/25,186.945,80
9/4/25,186.94,80
9/5/25,186.935,80
9/6/25,186.93,80
9/7/25,186.925,80
9/8/25,186.92,80
9/9/25,186.915,80
9/10/25,186.91,80
9/11/25,186.905,80
9/12/25,186.9,80
9/13/25,186.895,80
9/14/25,186.89,80
9/15/25,186.885,80
9/16/25,186.88,80
9/17/25,186.875,80
9/18/25,186.87,80
9/19/25,186.865,80
9/20/25,186.86,80
9/21/25,186.855,80
9/22/25,186.85,80
9/23/25,186.845,80
9/24/25,186.84,80
9/25/25,186.835,80
9/26/25,186.83,80
9/27/25,186.825,80
9/28/25,186.82,80
9/29/25,186.815,80
9/30/25,186.81,80
10/1/25,186.805,80
10/2/25,186.8,80
10/3/25,186.795,80
10/4/25,186.79,80
10/5/25,186.785,80
10/6/25,186.78,80
10/7/25,186.775,80
10/8/25,186.77,80
10/9/25,186.765,80
10/10/25,186.76,80
10/11/25,186.755,80
10/12/25,186.75,80
10/13/25,186.745,80
10/14/25,186.74,80
10/15/25,186.735,80
10/16/25,186.73,80
10/17/25,186.725,80
10/18/25,186.72,80
10/19/25,186.715,80
10/20/25,186.71,80
10/21/25,186.705,80
10/22/25,186.7,80
10/23/25,186.695,80
10/24/25,186.69,80
10/25/25,186.685,80
10/26/25,186.68,80
10/27/25,186.675,80
10/28/25,186.67,80
10/29/25,186.665,80
10/30/25,186.66,80
10/31/25,186.655,80
11/1/25,186.65,80
11/2/25,186.645,80
11/3/25,186.64,80
11/4/25,186.635,80
11/5/25,186.63,80
11/6/25,186.625,80
11/7/25,186.62,80
11/8/25,186.615,80
11/9/25,186.61,80
11/10/25,186.605,80
11/11/25,186.6,80
11/12/25,186.595,80
11/13/25,186.59,80
11/14/25,186.585,80
11/15/25,186.58,80
11/16/25,186.575,80
11/17/25,186.57,80
11/18/25,186.565,80
11/19/25,186.56,80
11/20/25,186.555,80
11/21/25,186.55,80
11/22/25,186.545,80
11/23/25,186.54,80
11/24/25,186.535,80
11/25/25,186.53,80
11/26/25,186.525,80
11/27/25,186.52,80
11/28/25,186.515,80
11/29/25,186.51,80
11/30/25,186.505,80
12/1/25,186.5,80
12/2/25,186.495,80
12/3/25,186.49,80
12/4/25,186.485,80
12/5/25,186.48,80
12/6/25,186.475,80
12/7/25,186.47,80
12/8/25,186.465,80
12/9/25,186.46,80
12/10/25,186.455,80
12/11/25,186.45,80
12/12/25,186.445,80
12/13/25,186.44,80
12/14/25,186.435,80
12/15/25,186.43,80
12/16/25,186.425,80
12/17/25,186.42,80
12/18/25,186.415,80
12/19/25,186.41,80
12/20/25,186.405,80
12/21/25,186.4,80
12/22/25,186.395,80
12/23/25,186.39,80
12/24/25,186.385,80
12/25/25,186.38,80
12/26/25,186.375,80
12/27/25,186.37,80
12/28/25,186.365,80
12/29/25,186.36,80
12/30/25,186.355,80
12/31/25,186.35,80
1/1/26,186.345,80
1/2/26,186.34,80
1/3/26,186.335,80
1/4/26,186.33,80
1/5/26,186.325,80
1/6/26,186.32,80
1/7/26,186.315,80
1/8/26,186.31,80
1/9/26,186.305,80
1/10/26,186.3,80
1/11/26,186.295,80
1/12/26,186.29,80
1/13/26,186.285,80
1/14/26,186.28,80
1/15/26,186.275,80
1/16/26,186.27,80
1/17/26,186.265,80
1/18/26,186.26,80
1/19/26,186.255,80
1/20/26,186.25,80
1/21/26,186.245,80
1/22/26,186.24,80
1/23/26,186.235,80
1/24/26,186.23,80
1/25/26,186.225,80
1/26/26,186.22,80
1/27/26,186.215,80
1/28/26,186.21,80
1/29/26,186.205,80
1/30/26,186.2,80
1/31/26,186.195,80
2/1/26,186.19,80
2/2/26,186.185,80
2/3/26,186.18,80
2/4/26,186.175,80
2/5/26,186.17,80
2/6/26,186.165,80
2/7/26,186.16,80
2/8/26,186.155,80
2/9/26,186.15,80
2/10/26,186.145,80
2/11/26,186.14,80
2/12/26,186.135,80
2/13/26,186.13,80
2/14/26,186.125,80
2/15/26,186.12,80
2/16/26,186.115,80
2/17/26,186.11,80
2/18/26,186.105,80
2/19/26,186.1,80
2/20/26,186.095,80
2/21/26,186.09,80
2/22/26,186.085,80
2/23/26,186.08,80
2/24/26,186.075,80
2/25/26,186.07,80
2/26/26,186.065,80
2/27/26,186.06,80
2/28/26,186.055,80
3/1/26,186.05,80
3/2/26,186.045,80
3/3/26,186.04,80
3/4/26,186.035,80
3/5/26,186.03,80
3/6/26,186.025,80
3/7/26,186.02,80
3/8/26,186.015,80
3/9/26,186.01,80
3/10/26,186.005,80
3/11/26,186,80
3/12/26,185.995,80
3/13/26,185.99,80
3/14/26,185.985,80
3/15/26,185.98,80
3/16/26,185.975,80
3/17/26,185.97,80
3/18/26,185.965,80
3/19/26,185.96,80
3/20/26,185.955,80
3/21/26,185.95,80
3/22/26,185.945,80
3/23/26,185.94,80
3/24/26,185.935,80
3/25/26,185.93,80
3/26/26,185.925,80
3/27/26,185.92,80
3/28/26,185.915,80
3/29/26,185.91,80
3/30/26,185.905,80
3/31/26,185.9,80
4/1/26,185.895,80
4/2/26,185.89,80
4/3/26,185.885,80
4/4/26,185.88,80
4/5/26,185.875,80
4/6/26,185.87,80
4/7/26,185.865,80
4/8/26,185.86,80
4/9/26,185.855,80
4/10/26,185.85,80
4/11/26,185.845,80
4/12/26,185.84,80
4/13/26,185.835,80
4/14/26,185.83,80
4/15/26,185.825,80
4/16/26,185.82,80
4/17/26,185.815,80
4/18/26,185.81,80
4/19/26,185.805,80
4/20/26,185.8,80
4/21/26,185.795,80
4/22/26,185.79,80
4/23/26,185.785,80
4/24/26,185.78,80
4/25/26,185.775,80
4/26/26,185.77,80
4/27/26,185.765,80
4/28/26,185.76,80
4/29/26,185.755,80
4/30/26,185.75,80
5/1/26,185.745,80
5/2/26,185.74,80
5/3/26,185.735,80
5/4/26,185.73,80
5/5/26,185.725,80
5/6/26,185.72,80
5/7/26,185.715,80
5/8/26,185.71,80
5/9/26,185.705,80
5/10/26,185.7,80
5/11/26,185.695,80
5/12/26,185.69,80
5/13/26,185.685,80
5/14/26,185.68,80
5/15/26,185.675,80
5/16/26,185.67,80
5/17/26,185.665,80
5/18/26,185.66,80
5/19/26,185.655,80
5/20/26,185.65,80
5/21/26,185.645,80
5/22/26,185.64,80
5/23/26,185.635,80
5/24/26,185.63,80
5/25/26,185.625,80
5/26/26,185.62,80
5/27/26,185.615,80
5/28/26,185.61,80
5/29/26,185.605,80
5/30/26,185.6,80
5/31/26,185.595,80
6/1/26,185.59,80
6/2/26,185.585,80
6/3/26,185.58,80
6/4/26,185.575,80
6/5/26,185.57,80
6/6/26,185.565,80
6/7/26,185.56,80
6/8/26,185.555,80
6/9/26,185.55,80
6/10/26,185.545,80
6/11/26,185.54,80
6/12/26,185.535,80
6/13/26,185.53,80
6/14/26,185.525,80
6/15/26,185.52,80
6/16/26,185.515,80
6/17/26,185.51,80
6/18/26,185.505,80
6/19/26,185.5,80
6/20/26,185.495,80
6/21/26,185.49,80
6/22/26,185.485,80
6/23/26,185.48,80
6/24/26,185.475,80
6/25/26,185.47,80
6/26/26,185.465,80
6/27/26,185.46,80
6/28/26,185.455,80
6/29/26,185.45,80
6/30/26,185.445,80
7/1/26,185.44,80
7/2/26,185.435,80
7/3/26,185.43,80
7/4/26,185.425,80
7/5/26,185.42,80
7/6/26,185.415,80
7/7/26,185.41,80
7/8/26,185.405,80
7/9/26,185.4,80
7/10/26,185.395,80
7/11/26,185.39,80
7/12/26,185.385,80
7/13/26,185.38,80
7/14/26,185.375,80
7/15/26,185.37,80
7/16/26,185.365,80
7/17/26,185.36,80
7/18/26,185.355,80
7/19/26,185.35,80
7/20/26,185.345,80
7/21/26,185.34,80
7/22/26,185.335,80
7/23/26,185.33,80
7/24/26,185.325,80
7/25/26,185.32,80
7/26/26,185.315,80
7/27/26,185.31,80
7/28/26,185.305,80
7/29/26,185.3,80
7/30/26,185.295,80
7/31/26,185.29,80
8/1/26,185.285,80
8/2/26,185.28,80
8/3/26,185.275,80
8/4/26,185.27,80
8/5/26,185.265,80
8/6/26,185.26,80
8/7/26,185.255,80
8/8/26,185.25,80
8/9/26,185.245,80
8/10/26,185.24,80
8/11/26,185.235,80
8/12/26,185.23,80
8/13/26,185.225,80
8/14/26,185.22,80
8/15/26,185.215,80
8/16/26,185.21,80
8/17/26,185.205,80
8/18/26,185.2,80
8/19/26,185.195,80
8/20/26,185.19,80
8/21/26,185.185,80
8/22/26,185.18,80
8/23/26,185.175,80
8/24/26,185.17,80
8/25/26,185.165,80
8/26/26,185.16,80
8/27/26,185.155,80
8/28/26,185.15,80
8/29/26,185.145,80
8/30/26,185.14,80
8/31/26,185.135,80
9/1/26,185.13,80
9/2/26,185.125,80
9/3/26,185.12,80
9/4/26,185.115,80
9/5/26,185.11,80
9/6/26,185.105,80
9/7/26,185.1,80
9/8/26,185.095,80
9/9/26,185.09,80
9/10/26,185.085,80
9/11/26,185.08,80
9/12/26,185.075,80
9/13/26,185.07,80
9/14/26,185.065,80
9/15/26,185.06,80
9/16/26,185.055,80
9/17/26,185.05,80
9/18/26,185.045,80
9/19/26,185.04,80
9/20/26,185.035,80
9/21/26,185.03,80
9/22/26,185.025,80
9/23/26,185.02,80
9/24/26,185.015,80
9/25/26,185.01,80
9/26/26,185.005,80
9/27/26,185,80
9/28/26,184.995,80
9/29/26,184.99,80
9/30/26,184.985,80
10/1/26,184.98,80
10/2/26,184.975,80
10/3/26,184.97,80
10/4/26,184.965,80
10/5/26,184.96,80
10/6/26,184.955,80
10/7/26,184.95,80
10/8/26,184.945,80
10/9/26,184.94,80
10/10/26,184.935,80
10/11/26,184.93,80
10/12/26,184.925,80
10/13/26,184.92,80
10/14/26,184.915,80
10/15/26,184.91,80
10/16/26,184.905,80
10/17/26,184.9,80
10/18/26,184.895,80
10/19/26,184.89,80
10/20/26,184.885,80
10/21/26,184.88,80
10/22/26,184.875,80
10/23/26,184.87,80
10/24/26,184.865,80
10/25/26,184.86,80
10/26/26,184.855,80
10/27/26,184.85,80
10/28/26,184.845,80
10/29/26,184.84,80
10/30/26,184.835,80
10/31/26,184.83,80
11/1/26,184.825,80
11/2/26,184.82,80
11/3/26,184.815,80
11/4/26,184.81,80
11/5/26,184.805,80
11/6/26,184.8,80
11/7/26,184.795,80
11/8/26,184.79,80
11/9/26,184.785,80
11/10/26,184.78,80
11/11/26,184.775,80
11/12/26,184.77,80
11/13/26,184.765,80
11/14/26,184.76,80
11/15/26,184.755,80
11/16/26,184.75,80
11/17/26,184.745,80
11/18/26,184.74,80
11/19/26,184.735,80
11/20/26,184.73,80
11/21/26,184.725,80
11/22/26,184.72,80
11/23/26,184.715,80
11/24/26,184.71,80
11/25/26,184.705,80
11/26/26,184.7,80
11/27/26,184.695,80
11/28/26,184.69,80
11/29/26,184.685,80
11/30/26,184.68,80
12/1/26,184.675,80
12/2/26,184.67,80
12/3/26,184.665,80
12/4/26,184.66,80
12/5/26,184.655,80
12/6/26,184.65,80
12/7/26,184.645,80
12/8/26,184.64,80
12/9/26,184.635,80
12/10/26,184.63,80
12/11/26,184.625,80
12/12/26,184.62,80
12/13/26,184.615,80
12/14/26,184.61,80
12/15/26,184.605,80
12/16/26,184.6,80
12/17/26,184.595,80
12/18/26,184.59,80
12/19/26,184.585,80
12/20/26,184.58,80
12/21/26,184.575,80
12/22/26,184.57,80
12/23/26,184.565,80
12/24/26,184.56,80
12/25/26,184.555,80
12/26/26,184.55,80
12/27/26,184.545,80
12/28/26,184.54,80
12/29/26,184.535,80
12/30/26,184.53,80
12/31/26,184.525,80
1/1/27,184.52,80
1/2/27,184.515,80
1/3/27,184.51,80
1/4/27,184.505,80
1/5/27,184.5,80
1/6/27,184.495,80
1/7/27,184.49,80
1/8/27,184.485,80
1/9/27,184.48,80
1/10/27,184.475,80
1/11/27,184.47,80
1/12/27,184.465,80
1/13/27,184.46,80
1/14/27,184.455,80
1/15/27,184.45,80
1/16/27,184.445,80
1/17/27,184.44,80
1/18/27,184.435,80
1/19/27,184.43,80
1/20/27,184.425,80
1/21/27,184.42,80
1/22/27,184.415,80
1/23/27,184.41,80
1/24/27,184.405,80
1/25/27,184.4,80
1/26/27,184.395,80
1/27/27,184.39,80
1/28/27,184.385,80
1/29/27,184.38,80
1/30/27,184.375,80
1/31/27,184.37,80
2/1/27,184.365,80
2/2/27,184.36,80
2/3/27,184.355,80
2/4/27,184.35,80
2/5/27,184.345,80
2/6/27,184.34,80
2/7/27,184.335,80
2/8/27,184.33,80
2/9/27,184.325,80
2/10/27,184.32,80
2/11/27,184.315,80
2/12/27,184.31,80
2/13/27,184.305,80
2/14/27,184.3,80
2/15/27,184.295,80
2/16/27,184.29,80
2/17/27,184.285,80
2/18/27,184.28,80
2/19/27,184.275,80
2/20/27,184.27,80
2/21/27,184.265,80
2/22/27,184.26,80
2/23/27,184.255,80
2/24/27,184.25,80
2/25/27,184.245,80
2/26/27,184.24,80
2/27/27,184.235,80
2/28/27,184.23,80
3/1/27,184.225,80
3/2/27,184.22,80
3/3/27,184.215,80
3/4/27,184.21,80
3/5/27,184.205,80
3/6/27,184.2,80
3/7/27,184.195,80
3/8/27,184.19,80
3/9/27,184.185,80
